data,dia_semana,tipo,descricao,observacao
2016-01-01,sexta,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2016-02-08,segunda,facultativo,Carnaval,
2016-02-09,terca,nacional,Carnaval,
2016-02-10,quarta,facultativo,Quarta-feira de Cinzas,
2016-03-24,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2016-03-25,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2016-04-21,quinta,nacional,Tiradentes,
2016-04-22,sexta,facultativo,Ponto Facultativo,
2016-05-01,domingo,nacional,Dia do Trabalhador,cai em fim de semana (redundante p/ calculo)
2016-05-26,quinta,nacional,Corpus Christi,
2016-05-27,sexta,facultativo,Ponto Facultativo,
2016-07-04,segunda,facultativo,Instalacao do Poder Judiciario no Amazonas,
2016-08-11,quinta,facultativo,Dia do Advogado,
2016-09-05,segunda,estadual,Elevacao do Amazonas a categoria de provincia,
2016-09-06,terca,facultativo,Ponto Facultativo,
2016-09-07,quarta,nacional,Independencia do Brasil,
2016-10-12,quarta,nacional,Nossa Senhora Aparecida,
2016-10-24,segunda,municipal,Aniversario de Manaus,
2016-10-28,sexta,facultativo,Dia do Servidor Publico,
2016-11-02,quarta,nacional,Finados,
2016-11-14,segunda,facultativo,Ponto Facultativo,
2016-11-15,terca,nacional,Proclamacao da Republica,
2016-11-20,domingo,municipal,Dia da Consciencia Negra,cai em fim de semana (redundante p/ calculo)
2016-12-08,quinta,estadual,Nossa Senhora da Conceicao,
2016-12-09,sexta,facultativo,Ponto Facultativo,
2016-12-25,domingo,nacional,Natal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
2017-01-01,domingo,nacional,Confraternizacao Universal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
2017-02-27,segunda,facultativo,Carnaval,
2017-02-28,terca,nacional,Carnaval,
2017-03-01,quarta,facultativo,Quarta-feira de Cinzas,
2017-04-13,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2017-04-14,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2017-04-21,sexta,nacional,Tiradentes,
2017-05-01,segunda,nacional,Dia do Trabalhador,
2017-06-15,quinta,nacional,Corpus Christi,
2017-06-16,sexta,facultativo,Ponto Facultativo,
2017-07-03,segunda,facultativo,Ponto Facultativo (Instalacao do Poder Judiciario no Amazonas),
2017-08-11,sexta,facultativo,Dia do Advogado,
2017-09-05,terca,estadual,Elevacao do Amazonas a categoria de provincia,
2017-09-06,quarta,facultativo,Ponto Facultativo,
2017-09-07,quinta,nacional,Independencia do Brasil,
2017-10-12,quinta,nacional,Nossa Senhora Aparecida,
2017-10-13,sexta,facultativo,Ponto Facultativo,
2017-10-23,segunda,facultativo,Ponto Facultativo,
2017-10-24,terca,municipal,Aniversario de Manaus,
2017-10-28,sabado,facultativo,Dia do Servidor Publico,cai em fim de semana (redundante p/ calculo)
2017-11-02,quinta,nacional,Finados,
2017-11-03,sexta,facultativo,Ponto Facultativo,
2017-11-15,quarta,nacional,Proclamacao da Republica,
2017-11-20,segunda,municipal,Dia da Consciencia Negra,
2017-12-08,sexta,estadual,Nossa Senhora da Conceicao,
2017-12-25,segunda,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2018-01-01,segunda,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2018-02-12,segunda,facultativo,Carnaval,
2018-02-13,terca,feriado,Carnaval,
2018-02-14,quarta,facultativo,Quarta-feira de Cinzas,
2018-03-29,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2018-03-30,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2018-04-21,sabado,nacional,Tiradentes,cai em fim de semana (redundante p/ calculo)
2018-04-30,segunda,facultativo,Ponto Facultativo (vespera do Dia Mundial do Trabalho),
2018-05-01,terca,nacional,Dia Mundial do Trabalho,
2018-05-31,quinta,feriado,Corpus Christi,
2018-06-01,sexta,facultativo,Ponto Facultativo,
2018-07-04,quarta,facultativo,Instalacao do Poder Judiciario no Amazonas,
2018-08-11,sabado,facultativo,Dia do Advogado,cai em fim de semana (redundante p/ calculo)
2018-09-05,quarta,estadual,Elevacao do Amazonas a categoria de Provincia,
2018-09-06,quinta,facultativo,Ponto Facultativo,
2018-09-07,sexta,nacional,Independencia do Brasil,
2018-10-12,sexta,nacional,Nossa Senhora Aparecida,
2018-10-24,quarta,municipal,Elevacao de Manaus a categoria de Cidade,
2018-10-28,domingo,facultativo,Dia do Servidor Publico,cai em fim de semana (redundante p/ calculo)
2018-11-02,sexta,nacional,Finados,
2018-11-15,quinta,nacional,Proclamacao da Republica,
2018-11-16,sexta,facultativo,Ponto Facultativo,
2018-11-19,segunda,facultativo,Ponto Facultativo,
2018-11-20,terca,municipal,Dia da Consciencia Negra,
2018-12-08,sabado,municipal,Nossa Senhora da Conceicao,cai em fim de semana (redundante p/ calculo)
2018-12-08,sabado,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",cai em fim de semana (redundante p/ calculo)
2018-12-25,terca,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2019-01-01,terca,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2019-03-04,segunda,facultativo,Carnaval,
2019-03-05,terca,feriado,Carnaval,
2019-03-06,quarta,facultativo,Quarta-feira de Cinzas,
2019-04-18,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2019-04-19,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2019-04-21,domingo,nacional,Tiradentes,cai em fim de semana (redundante p/ calculo)
2019-05-01,quarta,nacional,Dia Mundial do Trabalho,
2019-06-20,quinta,feriado,Corpus Christi,
2019-06-21,sexta,facultativo,Ponto Facultativo,
2019-07-04,quinta,facultativo,Instalacao do Poder Judiciario no Amazonas,
2019-08-11,domingo,facultativo,Dia do Advogado,cai em fim de semana (redundante p/ calculo)
2019-09-05,quinta,estadual,Elevacao do Amazonas a categoria de Provincia,
2019-09-06,sexta,facultativo,Ponto Facultativo,
2019-09-07,sabado,nacional,Independencia do Brasil,cai em fim de semana (redundante p/ calculo)
2019-10-12,sabado,nacional,Nossa Senhora Aparecida,cai em fim de semana (redundante p/ calculo)
2019-10-24,quinta,municipal,Elevacao de Manaus a categoria de Cidade,
2019-10-25,sexta,facultativo,Ponto Facultativo,
2019-10-28,segunda,facultativo,Dia do Servidor Publico,
